node,tiplabel,Group
260,Camelina,Embryophyta
261,Camelina,Embryophyta
262,Camelina,Embryophyta
263,Camelina,Embryophyta
264,Brassica,Embryophyta
265,Arabidopsis,Embryophyta
266,Arabidopsis,Embryophyta
267,Camelina,Embryophyta
268,Camelina,Embryophyta
269,Capsella,Embryophyta
270,Theobroma,Embryophyta
271,Theobroma,Embryophyta
272,Pinus,Embryophyta
273,Pinus,Embryophyta
274,Crustomastix,Crustomastix stigmata CCMP3273
275,Pyramimonas,Pyramimonas ssp.
276,Pyramimonas,Pyramimonas ssp.
277,Pyramimonas,Pyramimonas ssp.
278,Pyramimonas,Pyramimonas ssp.
279,Pyramimonas,Pyramimonas ssp.
280,Pyramimonas,Pyramimonas ssp.
281,Pyramimonas,Pyramimonas ssp.
282,Pyramimonas,Pyramimonas ssp.
283,Pyramimonas,Pyramimonas ssp.
284,Pyramimonas,Pyramimonas ssp.
285,Pyramimonas,Pyramimonas ssp.
286,Bathycoccus,Bathycoccus ssp.
287,Ostreococcus,Ostreococcus
288,Ostreococcus,Ostreococcus
289,Ostreococcus,Ostreococcus
290,Ostreococcus,Ostreococcus
291,Ostreococcus,Ostreococcus
292,Ostreococcus,Ostreococcus
293,Ostreococcus,Ostreococcus
294,Ostreococcus,Ostreococcus
295,Ostreococcus,Ostreococcus
296,Mantoniella,Mantoniella ssp.
297,Mantoniella,Mantoniella ssp.
298,Micromonas,Micromonas ssp.
299,Micromonas,Micromonas ssp.
300,Micromonas,Micromonas ssp.
301,Micromonas,Micromonas ssp.
302,Micromonas,Micromonas ssp.
303,Micromonas,Micromonas ssp.
304,Micromonas,Micromonas ssp.
305,Micromonas,Micromonas ssp.
306,Micromonas,Micromonas ssp.
307,Micromonas,Micromonas ssp.
308,Micromonas,Micromonas ssp.
309,Micromonas,Micromonas ssp.
310,Nephroselmis,Nephroselmis pyriformis CCMP717
311,Tetraselmis,Tetraselmis ssp.
312,Tetraselmis,Tetraselmis ssp.
313,Tetraselmis,Tetraselmis ssp.
314,Tetraselmis,Tetraselmis ssp.
315,Tetraselmis,Tetraselmis ssp.
